t,u(t),y(t)
6.00,-1.233802,-0.139674
7.00,0.075256,0.066846
8.00,0.066107,-0.178963
9.00,1.481807,-0.151681
10.00,0.934733,0.264972
11.00,0.137730,0.080194
12.00,-0.354936,0.095103
13.00,-1.455596,-0.375805
14.00,-0.403568,-0.348988
15.00,-0.448319,-0.287812
16.00,-2.152667,-0.060319
17.00,0.477104,0.299210
18.00,0.180895,0.065486
19.00,0.062367,0.270522
20.00,0.113209,0.687132
21.00,-0.571342,0.103886
22.00,-1.483590,0.151264
23.00,1.848078,0.013389
24.00,0.698351,-0.059315
25.00,0.361166,0.264666
26.00,0.970310,0.472930
27.00,0.120214,-0.324273
28.00,1.747298,-0.109286
29.00,0.666474,-0.216263
30.00,-1.592414,-0.261707
31.00,0.669585,-0.141708
32.00,0.438196,-0.679444
33.00,-0.371756,-0.329308
34.00,-0.823526,0.206713
35.00,-0.080028,-0.244731
36.00,0.073002,-0.170246
37.00,0.295144,0.006308
38.00,0.000554,0.193463
39.00,-0.471286,0.083441
40.00,2.037009,0.046899
41.00,-0.097487,-0.075169
42.00,-0.425729,0.105942
43.00,-1.424268,0.105964
44.00,-0.284662,-0.536484
45.00,-0.820077,-0.147797
46.00,-0.662902,-0.046368
47.00,1.600848,0.309853
48.00,-0.673988,0.119316
49.00,-0.502532,0.427121
50.00,0.785920,0.263145
51.00,0.154260,-0.293184
52.00,2.129614,0.229790
53.00,1.966673,0.120263
54.00,-1.511985,-0.023503
55.00,0.691412,0.055891
56.00,0.400345,-0.691761
57.00,-1.120705,-0.645473
58.00,1.426462,0.101562
59.00,-2.073884,-0.394415
60.00,-1.439133,-0.092794
61.00,2.075939,0.064081
62.00,-1.820471,-0.451264
63.00,2.051535,0.611956
64.00,0.023365,0.314371
65.00,0.854650,-0.217075
66.00,-0.515379,0.506264
67.00,-0.559354,-0.457964
68.00,1.090067,-0.029899
69.00,0.963244,-0.382034
70.00,-2.037637,0.107020
71.00,-0.228069,0.122539
72.00,-0.597088,-0.367531
73.00,0.991040,-0.311355
74.00,-1.347815,0.371730
75.00,-0.915376,0.136445
76.00,0.940283,0.208335
77.00,0.491120,-0.220665
78.00,-0.166579,0.435486
79.00,-1.262941,0.319823
80.00,1.040363,-0.089280
81.00,-0.963696,-0.143565
82.00,0.080851,0.059602
83.00,-0.126415,0.267914
84.00,-0.126768,-0.192686
85.00,-0.636892,0.283631
86.00,-0.118402,-0.007440
87.00,0.702419,0.074068
88.00,1.034434,0.054155
89.00,1.982743,0.248686
90.00,0.954334,0.150151
91.00,-0.044496,-0.008266
92.00,1.094048,-0.230878
93.00,0.036659,-0.625360
94.00,0.731609,-0.418957
95.00,1.150104,-0.259945
96.00,0.308597,-0.434584
97.00,0.539318,-0.130400
98.00,-0.752391,-0.345176
99.00,-0.086017,-0.414168
100.00,-1.179251,-0.320970
101.00,-0.540876,-0.328777
102.00,0.026470,-0.010357
103.00,0.622188,-0.072510
104.00,0.411808,0.315531
105.00,-0.373391,0.241282
106.00,-1.035425,0.144664
107.00,1.119304,-0.103497
108.00,1.944244,-0.152953
109.00,0.389382,0.114587
110.00,0.450673,0.365030
111.00,0.747296,-0.202683
112.00,-1.735239,-0.482753
113.00,-0.623856,-0.245157
114.00,0.893093,-0.408129
115.00,0.783387,-0.377608
116.00,1.069271,0.344516
117.00,1.637600,0.191198
118.00,-1.417158,-0.070883
119.00,-0.496826,-0.118036
120.00,0.430507,-0.442580
121.00,-0.798612,-0.599877
122.00,-0.848583,0.166112
123.00,-0.523687,-0.019128
124.00,-0.598207,-0.116427
125.00,0.808799,0.174945
126.00,-0.107087,0.225499
127.00,0.820167,0.296406
128.00,-0.121543,0.279880
129.00,0.683346,-0.036966
130.00,-0.121589,0.075791
131.00,-3.332819,-0.180822
132.00,0.106259,-0.006324
133.00,0.464359,-0.408525
134.00,-0.344401,-0.016834
135.00,-0.832626,0.845839
136.00,-1.334047,0.148691
137.00,-0.864989,0.084203
138.00,-0.630257,0.095022
139.00,-0.147888,0.249345
140.00,0.183985,0.435486
141.00,-0.374164,0.411566
142.00,-0.769445,0.395460
143.00,0.738897,0.219417
144.00,-0.575043,0.065564
145.00,-0.201929,0.225728
146.00,0.555751,0.246145
147.00,3.411570,-0.093491
148.00,0.345257,0.232293
149.00,-0.413151,0.260996
150.00,2.119946,-0.061929
151.00,-0.803315,-0.927230
152.00,0.505150,-0.223924
153.00,1.532859,-0.243044
154.00,-0.441080,-0.670531
155.00,-0.496474,0.071099
156.00,0.256217,-0.335359
157.00,1.042175,-0.511583
158.00,0.159863,-0.067599
159.00,0.308960,0.044227
160.00,-0.434150,-0.082436
161.00,0.727015,-0.284924
162.00,1.409608,-0.163902
163.00,-1.557847,-0.153927
164.00,-0.400236,0.104973
165.00,-0.425369,-0.316127
166.00,0.338534,-0.444502
167.00,2.941187,0.231030
168.00,0.468029,0.080427
169.00,0.566522,0.345136
170.00,-0.150740,-0.007659
171.00,-1.456319,-0.713145
172.00,1.207853,-0.324094
173.00,-0.448534,-0.489443
174.00,1.729935,-0.075677
175.00,-0.069716,0.225204
176.00,1.074008,-0.203206
177.00,1.221772,0.104439
178.00,-0.157961,-0.450655
179.00,-1.331752,-0.015150
180.00,0.342947,-0.441206
181.00,-0.614092,-0.520067
182.00,1.504156,-0.158362
183.00,-0.583516,0.165547
184.00,1.235137,-0.005461
185.00,0.604191,0.161307
186.00,-0.346504,-0.309283
187.00,-1.838149,0.143741
188.00,0.938413,-0.412210
189.00,-1.763160,-0.326081
190.00,0.340974,-0.011538
191.00,-0.323442,0.323581
192.00,-0.438679,-0.144891
193.00,-2.422832,0.513991
194.00,-1.486720,-0.024318
195.00,0.733687,0.092368
196.00,-0.848293,0.093986
197.00,0.958288,0.782319
198.00,0.733801,0.574802
199.00,-0.422310,0.194031
200.00,-0.241763,0.453116
201.00,0.324115,-0.139655
202.00,-1.146012,-0.130174
203.00,-0.468232,0.072336
204.00,0.081129,-0.011890
205.00,0.983633,-0.083470
206.00,0.098992,0.308469
207.00,-0.484463,0.237507
208.00,-0.098200,0.108070
209.00,0.135656,-0.216347
210.00,1.216408,-0.054242
211.00,0.277389,0.075564
212.00,-1.383242,0.095124
213.00,-0.782336,0.002157
214.00,0.374875,-0.388403
215.00,0.296344,-0.192515
