t,u(t),y(t)
4.00,0.610819,0.106853
5.00,-1.733074,-0.193300
6.00,-0.259402,0.182235
7.00,-0.271643,0.012373
8.00,-0.575928,0.009466
9.00,-0.559062,0.022370
10.00,-0.973602,0.010733
11.00,-2.333263,-0.044834
12.00,0.782145,0.324135
13.00,0.030610,-0.089312
14.00,-0.610579,-0.033431
15.00,-0.842857,0.021981
16.00,0.229690,0.090840
17.00,1.847138,0.095007
18.00,-0.472791,-0.268587
19.00,-1.363833,-0.057338
20.00,-1.182324,0.069789
21.00,-1.691207,-0.015640
22.00,1.739102,0.309735
23.00,-0.867185,-0.256353
24.00,0.375881,0.105200
25.00,0.339979,-0.017258
26.00,0.083782,-0.025925
27.00,0.326860,0.007637
28.00,0.696758,-0.009518
29.00,0.462841,-0.068956
30.00,-0.045262,-0.034611
31.00,-0.154627,-0.022181
32.00,0.887430,0.065926
33.00,-1.521472,-0.197409
34.00,0.591964,0.215829
35.00,0.228845,-0.057286
36.00,-0.392258,-0.056573
37.00,-0.834106,-0.016379
38.00,-0.032290,0.102266
39.00,-0.745491,-0.064117
40.00,-2.250840,-0.042669
41.00,-1.129465,0.172957
42.00,-0.732681,0.086886
43.00,0.098794,0.089533
44.00,0.916225,0.036532
45.00,0.241923,-0.079406
46.00,-0.032787,-0.034769
47.00,-0.783241,-0.029133
48.00,-1.128947,0.007333
49.00,-1.200951,0.033873
50.00,-0.744660,0.069460
51.00,-0.175859,0.065633
52.00,0.027835,0.018639
53.00,1.944204,0.176019
54.00,0.641868,-0.179113
55.00,0.380022,-0.050826
56.00,-0.362244,-0.078083
57.00,-0.107078,0.046363
58.00,-0.640348,-0.058950
59.00,1.977824,0.253798
60.00,-0.214193,-0.259406
61.00,-0.446546,-0.022920
62.00,-0.779498,-0.022703
63.00,-0.404136,0.074641
64.00,1.594695,0.157708
65.00,1.394692,-0.091441
66.00,-0.636683,-0.176186
67.00,-0.994880,-0.016805
68.00,1.292851,0.224624
69.00,-2.099596,-0.295321
70.00,-0.213985,0.234685
71.00,-0.777750,-0.017312
72.00,0.322029,0.120148
73.00,0.185053,0.006247
74.00,-0.182902,-0.038269
75.00,-0.077143,0.028606
76.00,0.729997,0.038089
77.00,-1.530690,-0.197283
78.00,-1.784971,0.006388
79.00,1.179143,0.293760
80.00,-0.548020,-0.187033
81.00,2.369289,0.241497
82.00,0.881137,-0.212562
83.00,1.050398,-0.018470
84.00,-1.289528,-0.201830
85.00,0.441978,0.216643
86.00,-0.423653,-0.073135
87.00,-0.603948,0.019650
88.00,-1.282983,-0.038245
89.00,1.684617,0.256994
90.00,-0.688227,-0.221669
91.00,0.901014,0.147371
92.00,0.449860,-0.057923
93.00,0.198558,-0.052164
94.00,0.153598,-0.052439
95.00,0.739138,0.047371
96.00,0.146211,-0.057354
97.00,-1.528102,-0.122217
98.00,-1.269628,0.081555
99.00,-0.707342,0.095524
100.00,-0.460170,0.054407
101.00,0.337018,0.080998
102.00,-2.354519,-0.248854
103.00,1.346544,0.377285
104.00,0.896367,-0.077375
105.00,1.131763,-0.020547
106.00,0.292622,-0.129719
107.00,-2.151672,-0.196308
108.00,0.990867,0.320894
109.00,0.465631,-0.067239
110.00,0.721226,0.007869
111.00,0.912151,0.007585
112.00,-0.425642,-0.118503
113.00,0.531066,0.104764
114.00,-0.762012,-0.112920
115.00,-0.812530,0.050481
116.00,-0.665213,0.056918
117.00,-0.138150,0.045666
118.00,1.158901,0.102349
119.00,-0.141143,-0.141547
120.00,-0.740312,-0.009437
121.00,-1.424196,-0.027384
122.00,-0.603364,0.122351
123.00,-0.571162,0.022463
124.00,-1.537045,-0.068951
125.00,1.279383,0.328234
126.00,0.778307,-0.103537
127.00,-0.978808,-0.179025
128.00,0.438562,0.141482
129.00,0.148051,-0.038523
130.00,0.029805,-0.026755
131.00,1.614678,0.108353
132.00,0.553726,-0.136182
133.00,-1.215029,-0.153407
