t,u(t),y(t)
3.00,0.929759,0.017161
4.00,1.564867,0.083311
5.00,0.267076,0.149667
6.00,1.518713,0.027053
7.00,0.117178,0.101342
8.00,0.702264,0.017298
9.00,-0.462172,0.046114
10.00,-0.825417,-0.045483
11.00,0.666627,-0.089555
12.00,0.324031,0.052763
13.00,0.825566,0.053068
14.00,0.303969,0.069628
15.00,0.222569,0.026180
16.00,-1.437272,0.001086
17.00,-1.123811,-0.133039
18.00,-1.246577,-0.121259
19.00,1.058561,-0.102365
20.00,-0.032922,0.105040
21.00,0.652563,0.033705
22.00,0.538328,0.037755
23.00,1.028244,0.050256
24.00,-0.351746,0.083488
25.00,-0.011447,-0.016924
26.00,-0.355524,-0.025109
27.00,-0.287268,-0.024003
28.00,0.245916,-0.021901
29.00,-0.719167,0.022132
30.00,-1.317533,-0.052213
31.00,1.095626,-0.124696
32.00,-0.704227,0.094260
33.00,-1.277503,-0.018511
34.00,1.091536,-0.135604
35.00,-1.414181,0.065958
36.00,0.253963,-0.075569
37.00,-1.150699,-0.012427
38.00,1.134378,-0.093033
39.00,0.624108,0.086459
40.00,-1.151426,0.092009
41.00,0.474870,-0.102327
42.00,0.050954,-0.006930
43.00,0.566537,0.024421
44.00,0.531500,0.063622
45.00,-0.446108,0.057532
46.00,0.214362,-0.047635
47.00,0.354027,-0.008713
48.00,0.675819,0.038767
49.00,1.282988,0.077176
50.00,1.416336,0.111197
51.00,-0.146810,0.123144
52.00,-1.277133,-0.022451
53.00,-1.968377,-0.146811
54.00,0.320539,-0.182778
55.00,0.951706,0.029497
56.00,-1.185189,0.127010
57.00,1.087678,-0.084464
58.00,0.140600,0.038785
59.00,-1.687233,0.036579
60.00,0.882926,-0.145912
61.00,-0.073954,0.038035
62.00,-1.244430,0.037439
63.00,0.874248,-0.104785
64.00,-0.138199,0.048666
65.00,0.986197,0.019271
66.00,-0.103804,0.073801
67.00,0.400932,-0.013665
68.00,-0.758366,0.015266
69.00,0.133748,-0.060343
70.00,0.613653,-0.001226
71.00,-1.195565,0.072707
72.00,-1.085725,-0.085699
73.00,0.517349,-0.122234
74.00,0.908448,0.039878
75.00,0.738417,0.123458
76.00,-1.230797,0.071533
77.00,0.479039,-0.124036
78.00,-0.117431,0.001178
79.00,0.708438,0.021535
80.00,0.624775,0.061152
81.00,-1.191308,0.059732
82.00,-0.427818,-0.113491
83.00,0.772921,-0.078737
84.00,-0.236844,0.076294
85.00,0.607617,0.010532
86.00,-2.582747,0.035930
87.00,-0.463846,-0.215824
88.00,-1.381411,-0.093521
89.00,1.439001,-0.084498
90.00,-0.120049,0.127865
91.00,0.046027,0.032662
92.00,1.037232,-0.023584
93.00,-0.651175,0.087236
94.00,0.998339,-0.028810
95.00,-1.334708,0.058199
96.00,-1.433000,-0.102976
97.00,-1.553169,-0.157297
98.00,0.126319,-0.148654
99.00,-0.362288,0.026972
100.00,0.093873,0.006870
101.00,-1.367237,0.000362
102.00,-0.149716,-0.118688
103.00,-0.074204,-0.036989
104.00,0.842591,0.010919
105.00,0.588018,0.086667
106.00,0.174342,0.061945
107.00,1.725682,0.000889
108.00,-0.300144,0.126717
109.00,2.248043,-0.001927
110.00,-0.009309,0.169042
111.00,-0.110691,0.026454
112.00,-1.609406,-0.043676
113.00,-1.340969,-0.153241
114.00,-1.732381,-0.143148
115.00,0.660941,-0.144170
116.00,0.058512,0.051581
117.00,1.418383,0.056441
118.00,0.423884,0.126731
119.00,0.546660,0.045023
120.00,-0.795329,0.027894
121.00,0.549929,-0.062975
122.00,-2.416259,0.033085
123.00,-0.922799,-0.180827
124.00,0.490926,-0.115898
125.00,-0.630248,0.057629
126.00,-0.379838,-0.005345
127.00,0.818319,-0.053295
128.00,0.763498,0.063972
129.00,0.167435,0.079676
130.00,-0.910284,0.009210
131.00,-0.293675,-0.100693
132.00,-1.231112,-0.048261
133.00,0.264680,-0.085252
134.00,0.491531,0.015246
135.00,0.133996,0.080607
136.00,0.677434,0.019972
137.00,-1.006160,0.040969
138.00,-1.274672,-0.095475
139.00,-0.303299,-0.137699
140.00,0.826296,-0.028227
141.00,-1.365846,0.097676
142.00,0.652347,-0.088852
143.00,0.584397,0.015907
144.00,-0.350918,0.075713
145.00,-1.049063,-0.028626
146.00,-0.527742,-0.120097
147.00,-0.095145,-0.059387
148.00,0.332975,0.012727
149.00,-0.031503,0.042555
150.00,-0.116711,-0.004529
151.00,-0.303155,-0.025610
152.00,1.241342,-0.029222
153.00,-0.676603,0.105668
154.00,-0.896953,-0.030691
155.00,0.742426,-0.109604
156.00,-0.417360,0.056434
157.00,2.015271,0.000335
158.00,0.239185,0.177627
159.00,-2.912960,0.044552
160.00,-2.109943,-0.291111
161.00,0.900649,-0.248843
162.00,-0.014533,0.100555
163.00,-2.057860,0.091326
164.00,-0.298481,-0.182958
165.00,0.278613,-0.074923
166.00,0.254884,0.050543
167.00,-1.223599,0.059545
168.00,-0.128145,-0.103821
169.00,0.801660,-0.056094
170.00,-0.721191,0.086359
171.00,0.122522,-0.042781
172.00,-2.069380,-0.012354
173.00,0.688088,-0.176073
174.00,0.468955,0.023887
175.00,0.221813,0.093028
176.00,-1.597035,0.022042
177.00,1.679397,-0.165513
178.00,-1.350189,0.106425
179.00,0.036690,-0.049818
180.00,-1.877565,-0.022178
181.00,-0.265666,-0.143300
182.00,-0.026407,-0.051924
183.00,-0.481281,0.025572
184.00,0.743150,-0.028445
185.00,0.288312,0.055708
186.00,1.889794,0.038202
187.00,-2.262982,0.155338
188.00,-0.975171,-0.173873
189.00,0.118992,-0.154937
190.00,-0.301886,0.024133
191.00,0.323237,0.009992
192.00,1.435477,0.009506
193.00,-0.450881,0.128800
194.00,1.327468,-0.016954
195.00,-0.198057,0.084048
196.00,0.442397,0.010032
197.00,-1.161659,0.017850
198.00,0.828317,-0.098518
199.00,-1.514451,0.052578
200.00,-1.846260,-0.096647
201.00,-0.091661,-0.198843
202.00,0.647978,-0.012470
203.00,-0.711852,0.098518
204.00,0.955926,-0.045332
205.00,-1.425723,0.041577
206.00,1.149798,-0.105484
207.00,-0.770977,0.070388
208.00,0.710938,-0.027499
209.00,1.215629,0.036785
210.00,-2.016899,0.118877
211.00,0.044084,-0.170353
212.00,0.441870,-0.042841
213.00,1.697812,0.068751
214.00,-1.670326,0.165672
215.00,1.302396,-0.121319
216.00,-1.451924,0.045610
217.00,-0.410722,-0.094158
218.00,1.495412,-0.067284
219.00,0.492566,0.130903
220.00,-0.552173,0.088305
221.00,-0.059380,-0.063373
222.00,-0.323923,-0.027838
223.00,0.729596,-0.017252
224.00,1.270989,0.065226
225.00,-0.915104,0.130074
226.00,0.601329,-0.058416
227.00,0.442486,0.018014
228.00,-0.478975,0.063417
229.00,-1.150863,-0.029490
230.00,-1.611159,-0.108603
231.00,-0.067277,-0.150128
232.00,1.732682,-0.010694
233.00,0.062763,0.179310
234.00,-1.164218,0.032732
235.00,-1.482896,-0.138616
236.00,-1.156352,-0.161085
237.00,-0.589772,-0.090646
238.00,-0.017252,-0.032095
239.00,1.506159,0.013875
240.00,0.848123,0.138018
241.00,-0.935766,0.094034
242.00,-0.302159,-0.097863
243.00,0.628427,-0.067331
244.00,-0.512659,0.063701
245.00,0.583596,-0.008282
246.00,0.271251,0.031841
247.00,-0.042924,0.026525
248.00,-0.332887,-0.006302
249.00,0.411453,-0.024928
250.00,0.927006,0.025117
251.00,-0.281438,0.091597
252.00,-1.091518,-0.013455
253.00,0.409610,-0.120025
254.00,-1.070322,0.013259
255.00,1.284763,-0.062781
256.00,-1.432538,0.104220
257.00,-0.177949,-0.099671
258.00,2.520178,-0.055543
259.00,1.073056,0.230868
260.00,-0.125030,0.145035
261.00,-0.726034,-0.040571
262.00,-1.177624,-0.109192
263.00,0.224717,-0.113390
264.00,1.061006,0.024888
265.00,-0.939577,0.126101
266.00,-0.342248,-0.056548
267.00,-1.846114,-0.076576
268.00,-0.807184,-0.166167
269.00,-0.251400,-0.080764
270.00,0.522254,-0.009807
271.00,-0.602446,0.058366
272.00,1.197401,-0.043155
273.00,0.629866,0.086028
274.00,1.332904,0.082900
275.00,-0.231487,0.107622
276.00,0.190573,-0.007764
277.00,-0.022790,-0.025597
278.00,-0.716477,-0.011656
279.00,0.464257,-0.068948
280.00,-0.067934,0.034266
281.00,0.455031,0.013044
282.00,0.277919,0.029115
283.00,-2.378630,0.026397
284.00,-0.120511,-0.200278
285.00,-0.406447,-0.056981
286.00,0.545374,0.002016
287.00,1.951964,0.073461
288.00,-0.529083,0.181298
289.00,0.722086,-0.025821
290.00,1.229495,0.023638
291.00,-0.301215,0.116094
292.00,-1.012357,-0.020880
293.00,-0.458154,-0.122309
294.00,-0.804759,-0.055074
295.00,0.770964,-0.052390
296.00,3.363724,0.066466
297.00,1.753279,0.313355
298.00,0.573395,0.196537
299.00,-1.249098,0.001876
300.00,-0.569522,-0.151588
301.00,0.458553,-0.080441
302.00,-1.432769,0.055564
303.00,0.705594,-0.098794
304.00,1.387900,0.017540
305.00,0.697259,0.156517
306.00,-0.080298,0.084625
307.00,0.226269,-0.033353
308.00,-0.938651,-0.011374
309.00,-1.766138,-0.079382
310.00,0.383371,-0.169510
311.00,-0.925381,0.026090
312.00,-1.560026,-0.035855
313.00,-0.006308,-0.148174
314.00,-0.433770,-0.037640
315.00,0.718056,-0.005368
316.00,1.559780,0.070863
317.00,-1.430742,0.147631
318.00,1.238713,-0.118582
319.00,1.296690,0.057084
320.00,0.200459,0.151338
321.00,0.488255,0.032203
322.00,-1.190939,0.006743
323.00,1.072744,-0.109250
324.00,0.502652,0.060668
325.00,-0.023459,0.084980
326.00,-0.031213,-0.011365
327.00,-1.757969,-0.027355
328.00,0.989138,-0.162132
329.00,-0.186320,0.075546
330.00,0.635929,0.019155
331.00,-0.402277,0.041606
332.00,-0.507652,-0.025360
333.00,0.471455,-0.053690
334.00,-0.303477,0.037457
335.00,0.568011,-0.005564
336.00,0.640330,0.042947
337.00,0.294713,0.057344
338.00,1.467227,0.022015
339.00,1.674532,0.123760
340.00,-0.016768,0.160378
341.00,-1.522261,0.004401
342.00,0.446790,-0.168099
343.00,1.093442,0.011817
344.00,0.088923,0.135258
345.00,-0.422472,0.030229
346.00,-0.881113,-0.062878
347.00,0.106571,-0.094576
348.00,-0.705458,0.003662
349.00,1.090098,-0.045985
350.00,2.761868,0.091429
351.00,1.560866,0.268014
352.00,0.586497,0.158321
353.00,-1.911236,0.023402
354.00,0.242386,-0.200026
355.00,0.152655,-0.028831
356.00,-0.262129,0.058305
357.00,0.546427,-0.004400
358.00,-0.490708,0.031501
359.00,-0.478218,-0.034170
360.00,-0.916027,-0.047434
361.00,0.144209,-0.074045
362.00,0.173510,0.022510
363.00,-1.040441,0.031449
364.00,-0.725687,-0.092706
365.00,-0.717830,-0.083594
366.00,0.891070,-0.054272
367.00,0.348412,0.088380
368.00,0.513079,0.060735
369.00,0.445980,0.047380
370.00,1.374934,0.041756
371.00,1.216999,0.125091
372.00,0.983774,0.118506
373.00,1.408459,0.090510
374.00,-0.789206,0.107635
375.00,0.462204,-0.064397
376.00,0.315836,-0.000742
377.00,0.420044,0.043971
378.00,1.703758,0.045974
379.00,-0.820277,0.155271
380.00,-1.868542,-0.047654
381.00,-0.812673,-0.204557
382.00,1.149061,-0.098031
383.00,-0.302589,0.126346
