t,u(t),y(t)
5.00,0.362771,-0.150517
6.00,1.365628,-0.429236
7.00,0.875268,0.012484
8.00,-0.471207,0.249514
9.00,-1.177372,0.294765
10.00,0.041640,0.010101
11.00,1.133674,-0.246109
12.00,1.860550,-0.134834
13.00,-1.371938,0.195319
14.00,0.654470,0.406756
15.00,1.460634,0.012703
16.00,-0.736387,-0.123626
17.00,-0.496523,0.344399
18.00,0.917547,0.054788
19.00,0.341701,-0.198302
20.00,-1.179256,0.093177
21.00,0.154023,0.181464
22.00,-0.631339,-0.153421
23.00,-1.194620,-0.134223
24.00,1.470265,-0.037472
25.00,2.891922,-0.261538
26.00,0.440091,0.069513
27.00,-0.061081,0.631270
28.00,-0.661461,0.391252
29.00,1.165537,-0.026201
30.00,1.004854,-0.098288
31.00,0.193252,0.076584
32.00,0.723630,0.309358
33.00,-0.415880,0.118911
34.00,-0.376269,0.111290
35.00,-1.027917,0.032104
36.00,-0.769843,-0.126585
37.00,-0.517952,-0.179001
38.00,0.476663,-0.239638
39.00,-1.924474,-0.144215
40.00,0.739379,0.011915
41.00,0.502987,-0.200890
42.00,-0.418670,-0.165689
43.00,-0.722281,0.225719
44.00,0.707665,-0.031895
45.00,-1.218646,-0.162038
46.00,0.801008,0.017776
47.00,2.602583,-0.061477
48.00,0.213762,-0.068748
49.00,1.859152,0.512139
50.00,0.303227,0.333632
51.00,-0.905486,0.225948
52.00,-0.619134,0.294889
53.00,1.363754,-0.146123
54.00,1.456261,-0.201073
55.00,-0.938566,0.139327
56.00,2.192779,0.395053
57.00,0.027229,0.017851
58.00,0.995284,0.154532
59.00,0.409258,0.324120
60.00,-0.369639,0.075740
61.00,-2.166099,0.202525
62.00,1.035574,-0.032332
63.00,-0.851565,-0.362796
64.00,-1.112840,-0.125830
65.00,0.829183,0.076014
66.00,1.257073,-0.311567
67.00,1.965683,0.007156
68.00,-0.206234,0.311845
69.00,1.198190,0.404819
70.00,-1.326556,0.200224
71.00,1.522539,0.093488
72.00,0.482502,-0.017590
73.00,-0.068917,0.003936
74.00,1.731880,0.316173
75.00,0.274042,0.000022
76.00,1.225134,0.238323
77.00,-0.347315,0.270904
78.00,-0.602942,0.160783
79.00,-1.275627,0.113076
80.00,-1.980317,-0.165346
81.00,1.532056,-0.242232
82.00,0.793377,-0.430692
83.00,0.875719,-0.008616
84.00,-1.073516,0.363915
85.00,0.729273,0.174010
86.00,0.508183,-0.050833
87.00,-1.478632,-0.061471
88.00,-0.351336,0.205265
89.00,-0.318171,-0.174573
90.00,1.807104,-0.253206
91.00,-0.160861,-0.047287
92.00,0.554800,0.211652
93.00,-0.213248,0.228119
94.00,0.289897,0.004619
95.00,-0.575960,0.059797
96.00,-0.898975,-0.006615
97.00,-0.405984,-0.033696
98.00,-0.044944,-0.215729
99.00,0.028417,-0.151281
100.00,1.112046,-0.039887
101.00,1.008829,0.003576
102.00,-0.453390,0.162695
103.00,1.100034,0.288158
104.00,0.084732,0.032749
105.00,0.890504,0.072945
106.00,1.050223,0.177163
107.00,-0.160432,0.103742
108.00,1.345752,0.275987
109.00,-1.818568,0.086071
110.00,-0.185373,0.148499
111.00,1.040959,-0.071862
112.00,0.445704,-0.305599
113.00,0.926071,0.183428
114.00,0.157270,0.194532
115.00,-0.486906,0.158445
116.00,-0.173039,0.134320
117.00,0.928488,-0.072478
118.00,1.794759,-0.089750
119.00,0.073993,0.125100
120.00,-0.260367,0.377276
121.00,0.340653,0.212398
122.00,-0.068103,-0.074947
123.00,0.989616,0.022997
124.00,1.861006,0.038666
125.00,0.268714,0.123066
126.00,0.888245,0.399953
127.00,-0.764027,0.251269
128.00,-0.514715,0.114008
129.00,0.463762,0.008573
130.00,1.190650,-0.200121
131.00,0.142130,0.024985
132.00,-0.908436,0.241482
133.00,0.173405,0.157883
134.00,0.174615,-0.139381
135.00,1.327790,-0.091556
136.00,0.969047,0.075531
137.00,-0.436595,0.200786
138.00,-1.384374,0.307646
139.00,-0.114006,0.026067
140.00,-2.030407,-0.274661
141.00,-1.333314,-0.174476
142.00,0.425144,-0.260910
143.00,0.156103,-0.462914
144.00,-0.384338,-0.051344
145.00,-0.556217,0.102735
146.00,-0.465153,-0.049462
147.00,0.002581,-0.134044
148.00,0.745147,-0.119995
149.00,0.151504,-0.047554
150.00,-1.384701,0.113018
151.00,-1.150546,0.117092
152.00,-0.257173,-0.196554
153.00,-0.240949,-0.344454
154.00,0.004505,-0.143761
155.00,1.503051,-0.045032
156.00,1.141754,-0.026454
157.00,1.502035,0.220037
158.00,0.708387,0.355836
159.00,0.609001,0.321535
160.00,0.341086,0.273760
161.00,0.444754,0.138017
162.00,-0.038103,0.118082
163.00,0.613552,0.093677
164.00,-1.012581,0.042879
165.00,-0.529171,0.070364
166.00,-2.145526,-0.057532
167.00,-1.466027,-0.223908
168.00,-0.281581,-0.344498
169.00,-1.785195,-0.472886
170.00,-0.201219,-0.178880
171.00,-0.394231,-0.256178
172.00,0.953213,-0.257660
173.00,0.400283,-0.027664
174.00,0.759770,0.074679
175.00,-1.533317,0.199474
176.00,1.840068,0.125727
177.00,1.267360,-0.120194
178.00,-0.531522,0.040875
179.00,0.992768,0.470372
180.00,0.327113,0.024761
181.00,1.067982,0.048356
182.00,-1.562582,0.196505
183.00,0.208102,0.160603
184.00,-1.814527,-0.083009
185.00,0.339955,-0.208093
186.00,-1.004362,-0.176864
187.00,0.361075,-0.205974
188.00,-1.033697,-0.039766
189.00,0.097673,-0.100270
190.00,2.115512,-0.063972
191.00,0.252345,-0.140279
192.00,0.137398,0.345231
193.00,0.356792,0.306469
194.00,0.469022,-0.003585
195.00,-0.403014,0.075396
196.00,-0.866738,0.111125
197.00,0.010714,-0.004058
198.00,-1.266927,-0.190935
199.00,0.748711,-0.098880
200.00,0.539995,-0.159118
201.00,0.626880,-0.062785
202.00,0.661367,0.214633
203.00,0.633177,0.130942
204.00,1.305460,0.164202
205.00,-1.745233,0.164185
206.00,-1.270644,0.255214
207.00,0.006716,-0.092069
208.00,0.303968,-0.445153
209.00,-0.563444,-0.104453
210.00,-0.009638,0.068167
211.00,-1.189874,-0.046156
212.00,-0.648106,-0.081973
213.00,0.893278,-0.151595
214.00,-0.299188,-0.253295
215.00,-0.448968,0.077826
216.00,1.437031,0.086200
217.00,1.084966,-0.131241
218.00,-0.717404,0.158873
219.00,1.625818,0.346629
220.00,0.792992,-0.004883
221.00,-1.085350,0.120337
222.00,-0.366628,0.346342
223.00,-0.297977,-0.101123
224.00,-0.131737,-0.204117
225.00,0.133878,-0.062487
226.00,2.120528,-0.052250
227.00,-1.810012,0.008883
228.00,-0.938060,0.317042
229.00,0.773492,0.016369
230.00,0.949813,-0.431355
231.00,1.108243,0.054948
232.00,1.283329,0.249314
233.00,-1.251784,0.257339
234.00,1.624106,0.305047
235.00,0.519461,-0.032277
236.00,0.760418,0.035041
237.00,0.006052,0.328012
238.00,0.719368,0.120942
239.00,1.102754,0.099284
240.00,-1.060587,0.081059
241.00,1.279589,0.252097
242.00,-0.868672,-0.031427
243.00,-0.246490,0.017899
244.00,-1.180046,0.077031
245.00,-0.711904,-0.195490
246.00,-0.060671,-0.165748
247.00,0.613714,-0.255608
248.00,0.875193,-0.068004
249.00,1.350627,0.090432
250.00,0.474016,0.206763
251.00,0.469123,0.288717
252.00,-1.005944,0.222514
253.00,-1.249213,0.094812
254.00,-0.161329,-0.084626
255.00,-0.287540,-0.322992
256.00,0.817580,-0.153955
257.00,-0.389125,-0.027296
258.00,0.782942,0.077092
259.00,-1.080216,0.060108
260.00,2.729327,0.036381
261.00,0.013513,-0.034634
262.00,-0.370847,0.224689
263.00,-0.129544,0.391840
264.00,1.094574,-0.137172
265.00,0.251084,-0.045906
266.00,-0.269285,0.142785
267.00,0.706513,0.179493
268.00,0.024407,-0.036953
269.00,1.460095,0.063290
270.00,-0.903469,0.101204
271.00,0.132419,0.188172
272.00,-0.486649,0.068047
273.00,0.043194,-0.144840
274.00,-0.977908,-0.014744
275.00,-1.153707,-0.072814
276.00,1.136696,-0.115591
277.00,-2.268092,-0.301518
278.00,0.781676,0.038632
279.00,-0.506850,-0.144472
280.00,0.043309,-0.225312
281.00,-0.276797,0.103768
282.00,0.871437,-0.102844
283.00,0.766728,-0.012725
284.00,-1.287881,0.080510
285.00,1.242849,0.230613
286.00,-0.864277,-0.105052
287.00,-0.516823,-0.011545
288.00,0.971525,0.080103
289.00,-0.093331,-0.234509
290.00,0.397361,0.106813
291.00,0.657188,0.125328
292.00,-1.286125,0.011769
293.00,0.254983,0.158771
294.00,0.062511,-0.109308
295.00,-0.648760,-0.147554
296.00,0.765464,0.078522
297.00,-0.095605,-0.101059
298.00,1.005761,0.022057
299.00,0.276803,0.103902
300.00,0.347066,0.104548
301.00,-1.598966,0.175841
302.00,-0.991350,0.050813
303.00,0.133104,-0.184903
304.00,-0.914469,-0.356315
305.00,-0.346739,-0.061990
306.00,1.658705,-0.092589
307.00,-1.847120,-0.178856
308.00,-0.123097,0.219072
309.00,0.847806,-0.046715
310.00,0.115987,-0.306139
311.00,-1.279494,0.170112
312.00,-0.069006,0.116826
313.00,0.197006,-0.192843
314.00,-2.819386,-0.173503
315.00,1.461224,0.058216
316.00,-0.804900,-0.383680
317.00,-2.377407,-0.165606
318.00,2.057740,0.159179
319.00,-1.555621,-0.504123
320.00,-1.030223,0.016648
321.00,-0.451308,0.109663
322.00,2.193878,-0.422189
323.00,0.636560,-0.136319
324.00,0.197434,0.275965
325.00,-0.018188,0.390367
326.00,0.851209,0.047375
327.00,0.290329,0.019705
328.00,-1.382035,0.115324
329.00,1.021974,0.155063
330.00,1.745985,-0.187037
331.00,1.816081,-0.040251
332.00,-0.462699,0.420196
333.00,-0.265863,0.442050
334.00,-2.093961,0.128983
335.00,-0.164787,-0.137324
336.00,-0.448574,-0.309190
337.00,-0.360851,-0.292473
338.00,-0.503372,-0.020978
339.00,1.336701,-0.122658
340.00,-0.284642,-0.104884
341.00,1.291575,0.129299
342.00,-0.863218,0.142902
343.00,0.965730,0.108599
344.00,-0.426966,0.060312
345.00,0.769358,-0.015357
346.00,0.053525,0.099236
347.00,0.123175,0.016880
348.00,-0.522551,0.127792
349.00,-0.427882,0.001212
350.00,3.664351,-0.058584
351.00,0.786500,-0.132485
352.00,1.775629,0.479127
353.00,0.187619,0.603729
354.00,-0.534385,0.245231
355.00,-0.696704,0.261962
356.00,-0.902446,-0.101183
357.00,-2.236610,-0.168091
358.00,0.599460,-0.197231
359.00,-0.338753,-0.419330
360.00,0.217394,-0.186757
361.00,0.484841,0.093851
362.00,0.369581,-0.041639
363.00,-1.137959,0.116168
364.00,-0.052497,0.104114
365.00,-0.908841,-0.122502
366.00,-0.393692,-0.168500
367.00,-0.016747,-0.100525
368.00,-0.748102,-0.177573
369.00,0.725606,-0.029704
370.00,-0.011569,-0.096953
371.00,-0.674600,0.004109
372.00,-0.997257,0.116975
373.00,-0.685366,-0.126462
374.00,1.488285,-0.223365
375.00,1.819189,-0.203589
376.00,1.366343,0.142434
377.00,0.801234,0.467174
378.00,2.195064,0.385723
379.00,-0.670217,0.249609
380.00,-1.013767,0.390407
381.00,-0.994866,0.174385
382.00,0.148227,-0.294051
383.00,1.263590,-0.238464
384.00,-0.177659,-0.087696
385.00,-0.476554,0.217875
386.00,1.155157,0.133257
387.00,0.321800,-0.130212
388.00,0.551990,0.114792
389.00,-0.411081,0.206446
390.00,-0.918384,0.085376
391.00,0.461252,0.009931
392.00,0.231739,-0.195965
393.00,1.237572,-0.043649
394.00,0.080310,0.116457
395.00,-0.653485,0.188184
396.00,-0.447724,0.170685
397.00,-0.939834,-0.118593
398.00,1.162110,-0.139757
399.00,-1.134397,-0.172313
400.00,-0.595327,0.052030
401.00,-0.261967,0.015434
402.00,0.080353,-0.273405
403.00,0.186469,-0.073893
404.00,0.416592,-0.014973
405.00,-0.617788,0.041608
406.00,-0.310644,0.082234
407.00,0.847909,-0.035489
408.00,1.232268,-0.137358
409.00,0.513644,0.101989
410.00,0.700230,0.286097
411.00,0.199787,0.207548
412.00,0.209888,0.138536
413.00,1.749011,0.111640
414.00,0.830840,0.035397
415.00,-0.905636,0.278564
416.00,-0.509851,0.337431
417.00,0.426755,-0.069274
418.00,-0.316801,-0.200352
419.00,0.976824,0.022735
420.00,-0.315400,0.018794
421.00,0.450479,0.083046
422.00,-0.585341,0.094288
423.00,1.368590,-0.008524
424.00,-0.567645,-0.006872
425.00,-0.487366,0.099622
426.00,-1.182393,0.118747
427.00,-0.301968,-0.189003
428.00,-0.805818,-0.203730
429.00,0.460668,-0.186929
430.00,0.219282,-0.124876
431.00,0.651135,-0.038783
432.00,0.414688,0.112424
433.00,0.823204,0.111120
434.00,-0.351762,0.136888
435.00,0.238728,0.153158
436.00,-1.199834,0.047619
437.00,0.555241,-0.032004
438.00,0.919681,-0.128390
439.00,-0.312491,-0.085912
440.00,1.061872,0.239522
441.00,0.494777,0.045491
442.00,0.485807,0.088828
443.00,-0.408373,0.222787
444.00,-1.716848,0.103257
445.00,-0.045944,-0.005362
446.00,-0.967740,-0.309486
447.00,-1.905237,-0.213188
448.00,0.403354,-0.095640
449.00,1.975101,-0.405060
450.00,-1.288816,-0.155530
451.00,1.927838,0.376920
452.00,-0.584908,0.055576
453.00,0.561797,0.054386
454.00,-1.474177,0.222179
455.00,-0.958254,-0.065214
456.00,-1.411374,-0.101918
457.00,0.604231,-0.354387
458.00,1.084143,-0.277497
459.00,-0.732102,-0.084183
460.00,0.381793,0.269532
461.00,-1.182333,0.011100
462.00,1.583806,-0.069045
463.00,0.623751,-0.092464
464.00,1.491621,0.056644
465.00,0.152893,0.334831
466.00,-0.379074,0.235497
467.00,0.882740,0.208728
468.00,0.381531,-0.074362
469.00,0.313440,0.078260
470.00,-0.579516,0.178795
471.00,-1.301796,0.069851
472.00,0.008945,-0.043574
473.00,0.618985,-0.267251
474.00,-1.103404,-0.149001
475.00,-0.342341,0.123478
476.00,-0.344092,-0.087686
477.00,0.418649,-0.210823
478.00,-0.568773,-0.058711
479.00,-0.760599,0.018912
480.00,0.847339,-0.015900
481.00,2.021195,-0.196357
482.00,0.537136,0.043876
483.00,-0.104569,0.418987
484.00,0.011017,0.310753
485.00,-1.513488,0.003215
486.00,-0.433006,-0.014820
487.00,-1.666627,-0.211302
488.00,-0.269870,-0.256687
489.00,-0.826486,-0.245519
490.00,1.380061,-0.255772
491.00,0.815584,-0.106331
492.00,1.098873,0.088554
493.00,0.429106,0.324060
494.00,0.810070,0.216441
495.00,-0.439018,0.190369
496.00,-0.859831,0.139782
497.00,-0.494586,0.038450
498.00,-0.423850,-0.200416
499.00,1.436957,-0.165099
500.00,2.017844,-0.104736
501.00,-0.538144,0.157265
502.00,-0.739863,0.485617
503.00,-0.377770,0.147887
504.00,1.291978,-0.229808
505.00,-0.299811,-0.124605
506.00,1.484500,0.149157
507.00,-1.303690,0.133790
508.00,-0.054882,0.136400
509.00,-1.155953,0.027282
510.00,-0.198023,-0.221421
511.00,0.755355,-0.123767
512.00,0.939678,-0.192292
513.00,1.894483,0.114462
514.00,2.404461,0.227479
515.00,-0.563803,0.373509
516.00,-0.592623,0.564241
517.00,-0.869709,0.185998
518.00,0.404170,-0.215652
519.00,-0.654747,-0.170445
520.00,-1.752218,-0.049065
521.00,1.936527,-0.017410
522.00,-0.169254,-0.351720
523.00,-0.777173,0.069958
524.00,-1.389146,0.273883
525.00,-1.074154,-0.192893
526.00,0.489377,-0.282264
527.00,-1.936739,-0.313437
528.00,0.898487,-0.033714
529.00,-0.629450,-0.191672
530.00,0.086736,-0.147432
531.00,-0.343320,0.085237
532.00,-0.176403,-0.109002
533.00,-0.700682,-0.009631
534.00,-1.492686,-0.079071
535.00,-1.194102,-0.108160
536.00,-0.686277,-0.304802
537.00,-0.296423,-0.338247
538.00,1.268041,-0.222458
539.00,1.815999,-0.101101
540.00,-0.010531,0.153637
541.00,-2.228128,0.430989
542.00,1.295332,0.196442
543.00,-0.061182,-0.362391
544.00,1.519680,-0.098178
545.00,0.327580,0.220171
546.00,1.323202,0.158829
547.00,0.920046,0.254448
548.00,-2.414272,0.182316
549.00,1.231326,0.309021
550.00,-1.055292,-0.260954
551.00,-0.420549,-0.158340
552.00,-1.242438,0.089372
553.00,0.641968,-0.250236
554.00,0.802853,-0.190011
555.00,-0.527755,-0.067586
556.00,-0.953424,0.230910
557.00,-0.285007,-0.000341
558.00,0.801840,-0.220578
559.00,2.224070,-0.147492
560.00,0.664111,0.103272
561.00,0.144829,0.422842
562.00,1.104079,0.361170
563.00,-0.021868,0.050802
564.00,-0.006475,0.171074
565.00,-1.690827,0.142685
566.00,0.075618,-0.035574
567.00,-0.205957,-0.231398
568.00,1.190210,-0.211901
569.00,0.648388,0.030943
570.00,1.774922,0.127796
571.00,0.430430,0.257586
572.00,1.149354,0.299800
573.00,-0.003714,0.282825
574.00,0.684176,0.170214
575.00,1.116180,0.143329
576.00,-1.137868,0.064101
577.00,0.766438,0.255772
578.00,0.022912,-0.033195
579.00,-0.349228,-0.068127
580.00,-1.295520,0.142174
581.00,-0.489435,-0.074318
582.00,0.408671,-0.224990
583.00,-1.559386,-0.230091
584.00,-1.063909,0.030035
585.00,0.498600,-0.164208
586.00,-0.689970,-0.367547
587.00,0.384866,-0.022177
588.00,-1.058255,-0.011840
589.00,1.968836,-0.051696
590.00,-0.802286,-0.075226
591.00,-0.767178,0.126413
592.00,0.072936,0.176347
593.00,0.559793,-0.274339
594.00,0.214096,-0.056109
595.00,0.223740,0.104093
596.00,0.640451,0.096094
597.00,-1.106701,0.046095
598.00,-0.965372,0.118267
599.00,-0.078979,-0.075584
600.00,-0.536579,-0.304055
601.00,-1.468244,-0.096749
602.00,-1.285159,-0.069454
603.00,-0.521091,-0.283065
604.00,1.217494,-0.361083
605.00,0.479031,-0.201438
606.00,0.465218,0.136138
607.00,1.301136,0.235757
608.00,-1.110529,0.092874
609.00,-0.766094,0.238110
610.00,-0.863098,-0.001614
611.00,-0.211391,-0.292201
612.00,0.187984,-0.183983
613.00,-0.392058,-0.130355
614.00,0.215061,0.019639
615.00,0.833345,-0.030266
616.00,-0.163036,-0.028226
617.00,-1.260072,0.158413
618.00,0.478046,0.077972
619.00,0.880646,-0.221032
620.00,0.875222,-0.091425
621.00,-0.908563,0.224443
622.00,1.377287,0.214824
623.00,-0.169814,-0.030340
624.00,0.909756,0.053836
625.00,-0.146426,0.189207
626.00,0.550441,0.063389
627.00,0.476068,0.114258
628.00,1.893196,0.027741
629.00,-0.018935,0.148936
630.00,-1.017383,0.311260
631.00,-0.278764,0.235508
632.00,1.399614,-0.195317
633.00,0.234740,-0.157261
634.00,0.902804,0.189307
635.00,1.959290,0.217780
636.00,0.160871,0.118388
637.00,-0.829737,0.399175
638.00,0.251248,0.258510
639.00,0.979712,-0.148724
640.00,0.927971,-0.064114
641.00,0.606179,0.192860
642.00,-0.005428,0.247333
643.00,-0.656841,0.179725
644.00,-0.440038,0.059397
645.00,-2.103285,-0.102897
646.00,-0.670352,-0.139848
647.00,-0.225311,-0.336430
648.00,0.423241,-0.360988
649.00,1.063936,-0.064053
650.00,-1.628851,0.041227
651.00,1.097030,0.207080
652.00,-0.080368,-0.105576
653.00,0.066933,-0.084791
654.00,0.886956,0.181630
655.00,-0.281074,-0.047478
656.00,-1.114525,0.146623
657.00,-0.770579,0.074137
658.00,-1.254848,-0.217318
659.00,-1.346918,-0.246027
660.00,0.386059,-0.245715
661.00,1.510641,-0.343844
662.00,-0.579624,-0.088570
663.00,0.197725,0.295797
664.00,1.117528,0.098440
665.00,0.860649,-0.090293
666.00,0.438479,0.211063
667.00,0.362365,0.253191
668.00,0.156340,0.145176
669.00,1.090156,0.089288
670.00,0.793347,0.061857
671.00,0.465637,0.171809
672.00,1.616598,0.249084
673.00,2.203361,0.136597
674.00,-0.356138,0.278052
675.00,-0.136152,0.511523
676.00,-0.514008,0.199950
677.00,-0.365411,-0.116707
678.00,0.439865,-0.067611
679.00,0.614787,-0.117450
680.00,-0.490323,0.021562
681.00,0.160571,0.160111
682.00,0.372757,-0.007709
683.00,0.100784,-0.052383
684.00,1.781557,0.094137
685.00,-1.101999,0.053515
686.00,0.262827,0.256971
687.00,-0.231214,0.076062
688.00,0.859690,-0.151794
689.00,0.052330,0.042181
690.00,-0.731430,0.073802
691.00,-0.535127,0.129429
692.00,1.165258,-0.125516
693.00,0.026267,-0.165973
694.00,-0.606616,0.122614
