t,u(t),y(t)
4.00,-0.357555,0.491886
5.00,-0.878475,0.195914
6.00,1.467836,0.569177
7.00,0.635534,-0.092576
8.00,0.376890,-0.927618
9.00,0.803488,-0.454034
10.00,0.768790,-0.380749
11.00,0.163925,-0.662415
12.00,-0.427101,-0.476547
13.00,-0.401091,0.082631
14.00,0.975535,0.457926
15.00,-0.107160,-0.157108
16.00,-0.203858,-0.481691
17.00,-0.868268,0.042552
18.00,0.278791,0.493296
19.00,0.079884,0.322939
20.00,-0.040141,-0.192646
21.00,0.742700,-0.009350
22.00,0.252618,-0.227947
23.00,1.303054,-0.355448
24.00,-1.646507,-0.759243
25.00,0.557656,0.076068
26.00,0.581971,0.637145
27.00,1.771381,-0.290739
28.00,0.150238,-1.029597
29.00,-0.372644,-0.945435
30.00,-0.424033,0.067505
31.00,-2.136560,0.253643
32.00,-1.466636,0.915231
33.00,-0.647783,1.529740
34.00,0.973220,1.043399
35.00,-0.868733,-0.211138
36.00,0.782422,-0.165085
37.00,-0.515351,0.036085
38.00,0.810657,-0.046466
39.00,0.271899,-0.057321
40.00,-0.905597,-0.542345
41.00,0.189404,0.195978
42.00,-0.645858,0.370217
43.00,-0.717752,0.139435
44.00,0.492587,0.592873
45.00,0.949906,0.247989
46.00,-0.181654,-0.647926
47.00,0.985763,-0.360291
48.00,-1.801903,-0.421206
49.00,0.666963,0.285189
50.00,-1.054619,0.529264
51.00,1.261892,0.219911
52.00,3.098761,0.176173
53.00,-0.070395,-1.810366
54.00,-0.542783,-1.636793
55.00,0.905349,0.347572
56.00,1.393346,0.166109
57.00,-0.430888,-1.012667
58.00,-2.219271,-0.730038
59.00,-2.318712,0.889060
60.00,-1.847746,1.905923
61.00,-0.452385,1.821207
62.00,1.923814,1.164364
63.00,-0.009293,-0.620155
64.00,0.807003,-0.963665
65.00,-0.260431,-0.345556
66.00,1.904070,-0.045391
67.00,-0.671350,-0.674600
68.00,-1.817205,-0.771956
69.00,0.289121,1.016344
70.00,-1.058869,0.782766
71.00,-0.420134,0.221212
72.00,0.988614,0.665140
73.00,-0.795108,-0.245985
74.00,-0.620732,-0.274657
75.00,-0.092515,0.581114
76.00,-0.287556,0.369251
77.00,1.142798,0.244110
78.00,1.166827,-0.221990
79.00,-0.903036,-1.070506
80.00,0.860470,-0.158986
