t,u(t),y(t)
4.00,-0.197140,-0.086397
5.00,1.469366,0.621242
6.00,-1.182556,-0.540320
7.00,0.901416,0.451459
8.00,-0.487312,-0.549465
9.00,-0.875789,0.022499
10.00,-0.425565,-0.473680
11.00,-0.814867,-0.058547
12.00,-0.744975,-0.382868
13.00,-0.780938,-0.156430
14.00,-0.549750,-0.281876
15.00,-0.260778,0.069834
16.00,1.228026,0.536966
17.00,0.524183,0.300226
18.00,0.585560,0.162251
19.00,0.403132,-0.071604
20.00,0.935987,0.398921
21.00,0.507783,0.217156
22.00,-1.162162,-0.455077
23.00,-1.987669,-1.040728
24.00,-0.270053,-0.127150
25.00,-0.258471,0.187085
26.00,-0.192528,0.304188
27.00,0.148669,-0.114062
28.00,1.513053,0.520470
29.00,-1.098923,-0.543213
30.00,-0.084074,0.114213
31.00,-1.794079,-1.066122
32.00,-2.094363,-0.536981
33.00,-0.992412,-0.533013
34.00,0.968422,0.874363
35.00,1.099801,0.528364
36.00,0.257130,0.204161
37.00,0.281198,-0.375887
38.00,-0.134797,-0.090587
39.00,-0.818777,-0.295958
40.00,0.909680,0.576199
41.00,-0.639065,-0.367212
42.00,-0.551881,-0.086592
43.00,-0.674040,-0.599016
44.00,-0.144646,0.222895
45.00,0.052553,0.025739
46.00,1.123704,0.697202
47.00,0.748709,0.099679
48.00,0.359758,0.191951
49.00,0.022771,-0.276213
50.00,-0.484908,-0.133474
51.00,0.723463,0.288906
52.00,-0.638799,-0.164420
53.00,-0.380769,-0.129285
54.00,1.185593,0.332080
55.00,2.292812,1.160184
56.00,-1.171837,-0.512349
57.00,-0.172999,-0.296592
58.00,0.071208,-0.434480
59.00,-0.925177,0.152757
60.00,1.516915,0.664206
61.00,0.116541,0.080456
62.00,-0.249844,-0.200522
63.00,-0.404756,-0.450087
64.00,-0.154225,0.041831
65.00,1.599124,0.810930
66.00,-0.215045,0.045164
67.00,-0.625460,-0.387637
68.00,-0.435913,-0.538392
69.00,-0.220778,0.078399
70.00,0.628388,0.498152
71.00,0.836808,0.449263
72.00,0.009925,-0.165057
73.00,-0.803324,-0.550530
74.00,-0.268450,-0.190273
75.00,1.535664,0.845156
76.00,-0.212493,0.103724
77.00,2.179986,0.894229
78.00,0.077345,-0.441831
79.00,-0.780228,-0.162535
80.00,0.624117,-0.115113
81.00,-0.190069,0.284129
82.00,0.990062,0.430787
83.00,0.116448,-0.037524
84.00,0.545908,0.132547
85.00,0.435195,0.070102
86.00,0.030232,0.114621
87.00,0.895069,0.309618
88.00,-0.133753,-0.078641
89.00,-0.848074,-0.372392
90.00,1.022618,0.290366
91.00,1.209879,0.629380
92.00,0.877216,0.528905
93.00,-0.192809,-0.336468
94.00,-0.237192,-0.343633
95.00,-0.157700,-0.123860
96.00,-1.219604,-0.249396
97.00,0.376499,0.216360
98.00,1.265263,0.476793
99.00,-0.360892,-0.023066
100.00,1.723527,0.578166
101.00,-1.532319,-0.881053
102.00,1.951122,1.034141
103.00,0.712413,-0.026532
104.00,0.772064,0.849111
105.00,-0.010173,-0.649152
106.00,-1.503490,-0.482496
107.00,0.048820,-0.273196
108.00,0.469484,0.624872
109.00,-1.510656,-0.532308
110.00,2.451618,1.018233
111.00,-0.689248,-0.635308
112.00,-0.793318,0.118281
113.00,-0.187448,-0.688291
114.00,-1.048448,0.011514
115.00,0.356190,0.054841
116.00,1.285330,0.802389
117.00,0.065672,-0.058782
118.00,-0.642145,-0.322607
119.00,1.533750,0.335956
120.00,-0.544222,-0.066141
121.00,-0.163843,0.093697
122.00,1.100423,0.183989
123.00,-1.480350,-0.548249
124.00,0.718653,0.312871
125.00,0.015671,-0.121324
126.00,1.668661,1.089126
127.00,0.290390,-0.169929
128.00,-1.660825,-0.644185
129.00,1.042742,-0.023717
130.00,0.074053,0.304351
131.00,0.166468,0.435760
132.00,0.174291,-0.182397
133.00,0.228911,-0.046674
134.00,1.807854,0.692037
135.00,-1.024725,-0.264332
136.00,0.750122,0.307552
137.00,0.073079,-0.354209
138.00,0.587518,0.566719
139.00,0.311882,-0.031368
140.00,0.790182,0.502559
141.00,0.406383,-0.134988
142.00,-0.872697,-0.285913
143.00,-0.056346,-0.202609
144.00,0.424805,0.300772
145.00,0.415784,0.305499
146.00,0.387650,0.141690
147.00,0.107985,-0.104655
148.00,-0.152834,-0.148468
149.00,-0.930961,-0.385033
150.00,-1.102657,-0.387177
151.00,-0.678057,-0.272453
152.00,1.508268,0.823935
153.00,0.596801,0.335104
154.00,1.042089,0.496592
155.00,-0.734392,-0.777047
156.00,-0.419826,-0.141725
157.00,-0.329500,-0.232610
158.00,-2.539570,-0.643612
159.00,2.136157,0.850004
160.00,-0.297564,-0.134379
161.00,-2.291682,-0.648071
162.00,1.710939,0.182476
163.00,1.468741,0.822812
164.00,-1.359397,-0.195538
165.00,0.755032,0.016778
166.00,-0.029893,-0.366608
167.00,-0.176975,0.250273
168.00,1.041398,0.416473
169.00,0.019295,0.090068
170.00,0.013765,-0.157137
171.00,0.885034,0.210292
172.00,0.752084,0.392231
173.00,-1.489133,-0.566971
174.00,1.894085,0.667041
175.00,0.627997,0.102093
176.00,-0.749760,0.088295
177.00,-0.180295,-0.522565
178.00,-3.401850,-1.441187
179.00,0.553330,0.367012
180.00,-0.779287,-0.159457
181.00,-1.530560,-0.045944
182.00,0.413170,-0.319165
183.00,-0.207604,0.046044
184.00,0.514386,0.332382
185.00,1.032373,0.507020
186.00,-0.356209,-0.229271
187.00,-1.442849,-0.801122
188.00,-0.593264,-0.370920
189.00,0.136283,0.298266
190.00,0.820295,0.672389
191.00,0.048087,-0.024255
192.00,-1.335367,-0.790027
193.00,0.627957,0.059446
194.00,-0.968983,-0.237573
195.00,-0.193025,0.328649
196.00,0.400026,-0.102092
197.00,-0.200988,0.022447
198.00,-1.017220,-0.613648
199.00,-0.044110,0.088823
200.00,0.945999,0.423659
201.00,0.288458,0.369271
202.00,-0.512725,-0.380867
203.00,-0.646236,-0.492408
204.00,0.162577,0.033305
205.00,0.872674,0.669948
206.00,1.301792,0.684765
207.00,1.544517,0.493607
208.00,-0.458694,-0.496765
209.00,1.569213,0.526437
210.00,-0.174977,-0.175658
211.00,0.773155,0.663169
212.00,-1.463149,-1.010657
213.00,-2.095245,-0.714352
214.00,-0.216633,-0.373332
215.00,-2.419078,-0.494129
216.00,-0.518053,-0.033313
217.00,1.474453,0.596449
218.00,-2.334574,-0.818348
219.00,-0.477573,-0.246461
220.00,0.610209,-0.066176
221.00,-1.576237,-0.112047
222.00,-0.300077,-0.150463
223.00,-0.080420,-0.188480
224.00,-0.754110,-0.179726
225.00,-1.685628,-0.664439
226.00,-1.466468,-0.584619
227.00,2.135830,0.988544
228.00,1.000056,0.718098
229.00,-0.677329,-0.156562
230.00,1.201964,-0.143892
231.00,-0.722656,-0.425088
232.00,1.931104,1.150705
233.00,0.762913,0.244817
234.00,-0.564737,-0.088341
235.00,-0.582375,-0.846550
236.00,0.021141,0.130580
237.00,-0.373657,0.009047
238.00,0.531264,0.531419
239.00,-0.852485,-0.634951
240.00,-0.155040,-0.049269
241.00,-0.699797,-0.476998
242.00,2.183910,1.336109
243.00,1.016636,0.334821
244.00,-1.343550,-0.416437
245.00,-1.459849,-1.302354
246.00,1.074783,0.578865
247.00,0.660744,0.624572
248.00,-1.562059,-0.212447
249.00,0.895032,-0.177880
250.00,-0.171406,-0.297187
251.00,1.152356,0.876611
252.00,0.088492,0.016940
253.00,0.607099,0.307150
254.00,-0.004333,-0.455255
255.00,2.087478,1.072374
256.00,1.273813,0.450737
257.00,-2.089331,-0.671744
258.00,-0.012551,-0.570195
259.00,0.557112,0.201651
260.00,0.021329,0.501878
261.00,-1.616557,-0.634224
262.00,0.209458,-0.198626
263.00,0.011086,-0.125921
264.00,0.335077,0.604817
265.00,0.007587,-0.084298
266.00,-0.824588,-0.378494
267.00,2.285113,0.722877
268.00,0.223370,0.256030
269.00,-0.325473,0.042043
270.00,-0.094519,-0.489008
271.00,-1.635582,-0.649876
272.00,0.567082,0.334131
273.00,0.006511,0.199629
274.00,-1.988579,-0.661127
275.00,0.162663,-0.203898
276.00,0.164145,0.031106
277.00,0.697330,0.718768
278.00,-0.367673,-0.232422
279.00,0.905338,0.266396
280.00,-0.441661,-0.464179
281.00,-0.616937,0.019988
282.00,-1.358741,-0.733752
283.00,-1.015751,-0.216587
284.00,-0.022160,-0.062867
285.00,0.212677,0.412092
286.00,0.778786,0.283649
287.00,0.996373,0.380889
288.00,-0.622080,-0.441274
289.00,-0.344527,-0.178177
290.00,0.230328,-0.040551
291.00,-0.293892,0.172461
292.00,-1.698370,-0.724482
293.00,0.383235,0.119124
294.00,-0.899684,-0.446778
295.00,0.088842,0.440588
296.00,-0.396470,-0.404987
297.00,0.063701,0.211535
298.00,0.878246,0.130426
299.00,1.352313,0.836913
300.00,-0.846097,-0.516233
301.00,-1.280285,-0.617363
302.00,0.417783,-0.134283
303.00,0.542505,0.669408
304.00,-0.841178,-0.155273
305.00,-0.145503,-0.212043
306.00,-0.371514,-0.486504
307.00,0.668965,0.562441
308.00,-1.171495,-0.434855
309.00,-0.274165,0.016726
310.00,-0.827798,-0.728231
311.00,-0.363043,0.175947
312.00,-1.077713,-0.510831
313.00,-2.036250,-0.590184
314.00,0.001791,-0.207317
315.00,-1.015228,-0.209557
316.00,-0.584793,0.026408
317.00,-0.790463,-0.406088
318.00,-0.355940,-0.073861
319.00,-0.838123,-0.386418
320.00,-0.819745,-0.153910
321.00,-0.306044,-0.175994
322.00,1.670783,0.883724
323.00,0.079077,0.025781
324.00,0.361325,0.209478
325.00,-1.321858,-1.049797
326.00,1.697448,0.957633
327.00,-3.320639,-1.504424
328.00,1.067523,0.944834
329.00,-1.612240,-1.350116
330.00,0.313816,1.046647
331.00,-0.159967,-0.747112
332.00,1.311940,1.268422
333.00,-2.627521,-1.768850
334.00,-1.446602,-0.153549
335.00,0.222051,-0.537419
336.00,0.712653,1.305642
337.00,-0.965642,-0.601358
338.00,-0.393701,-0.119632
339.00,0.206722,-0.526784
340.00,-2.295033,-0.410720
341.00,1.804795,0.774515
342.00,-0.664512,-0.249220
343.00,-0.636168,-0.064288
344.00,-0.577137,-0.716331
345.00,1.004066,0.728067
346.00,-0.854881,-0.328164
347.00,-0.286963,0.130537
348.00,0.078395,-0.446169
349.00,2.555371,1.406272
350.00,-1.127806,-0.556194
351.00,1.318239,0.714862
352.00,-0.185139,-0.836082
353.00,0.376717,0.732565
354.00,-1.079995,-0.833492
355.00,0.428963,0.613816
356.00,-2.187505,-1.402512
357.00,0.278383,0.615543
358.00,0.405959,-0.234741
359.00,0.309472,0.840175
360.00,0.312044,-0.377190
361.00,-0.153476,0.064186
362.00,-1.240740,-0.832698
363.00,0.212422,0.361702
364.00,-1.465339,-0.705424
365.00,-1.215148,-0.160065
366.00,-0.200579,-0.419987
367.00,1.119741,0.860687
368.00,0.215041,0.066832
369.00,0.821309,0.448873
370.00,0.522763,-0.256755
371.00,2.766723,1.327693
372.00,-0.857082,-0.542800
373.00,0.753124,0.526501
374.00,1.714496,0.042769
375.00,-1.463636,-0.097995
376.00,-0.693530,-0.579322
377.00,0.988024,0.391875
378.00,-1.066972,-0.300237
379.00,1.272351,0.771660
380.00,0.874034,0.003335
381.00,0.031293,0.255376
382.00,1.356608,0.195484
383.00,1.427781,0.715440
384.00,0.344589,0.080791
385.00,-1.226033,-0.626309
386.00,0.963702,0.124006
387.00,-0.742698,-0.185200
388.00,-0.725278,0.013984
389.00,-0.119265,-0.280023
390.00,1.003647,0.540060
391.00,-0.711112,-0.285808
392.00,0.969298,0.545799
393.00,0.134193,-0.299996
394.00,-0.366336,0.110094
395.00,0.434871,-0.086421
396.00,0.204569,0.277599
397.00,-1.375191,-0.641577
398.00,-1.559019,-0.642385
399.00,0.140862,-0.039129
400.00,0.625014,0.630610
401.00,-2.069339,-0.715124
402.00,0.908538,0.242728
403.00,-0.657506,-0.572639
404.00,-1.788567,-0.230373
405.00,-0.417663,-0.443767
406.00,-1.627322,-0.483054
407.00,-1.400326,-0.473368
408.00,1.452014,0.729821
409.00,0.958590,0.566226
410.00,-0.785937,-0.208362
411.00,1.686739,0.256754
412.00,0.070169,-0.113186
413.00,-0.863269,-0.051141
414.00,-0.552214,-0.484418
415.00,0.933547,0.487769
416.00,2.558358,1.131679
417.00,-0.156415,0.105746
418.00,-1.527280,-0.977417
419.00,-0.540448,-0.685361
420.00,0.657848,0.527578
421.00,0.805532,0.846234
422.00,0.257939,0.151460
423.00,-0.543554,-0.673828
424.00,0.890516,0.188247
425.00,-1.429641,-0.483874
426.00,-0.863422,-0.010718
427.00,0.498758,-0.078396
428.00,-0.247905,0.136169
429.00,2.145441,0.908393
430.00,-1.740512,-0.795679
431.00,-0.027330,-0.012950
432.00,1.772173,0.339387
433.00,0.108121,0.632731
434.00,-0.444730,-0.319599
435.00,-0.255068,-0.380472
436.00,0.347784,-0.007059
437.00,-1.012113,-0.129088
438.00,0.996250,0.526195
439.00,0.144347,-0.071487
440.00,1.417257,0.710245
441.00,0.996241,0.156531
442.00,0.209294,0.229350
443.00,-0.125436,-0.393580
444.00,-1.681207,-0.730697
445.00,1.119076,0.486682
446.00,1.015612,0.638805
447.00,0.611047,0.496368
448.00,-0.013426,-0.407358
449.00,1.468690,0.416074
450.00,-1.187640,-0.545315
