t,u(t),y(t)
4.00,0.052361,0.324305
5.00,0.166342,-0.184619
6.00,0.371678,0.052229
7.00,1.403945,-0.085090
8.00,1.863698,0.154633
9.00,-0.577093,-0.314110
10.00,0.972747,-0.674360
11.00,-0.532159,0.653493
12.00,0.750542,-0.583930
13.00,-0.436619,0.656965
14.00,-0.481327,-0.730138
15.00,-0.911970,0.453273
16.00,-0.305934,-0.225094
17.00,-0.845101,0.528003
18.00,-0.039008,-0.308790
19.00,0.098366,0.434089
20.00,-0.606757,-0.243630
21.00,-0.079475,-0.005443
22.00,-0.871990,0.142923
23.00,-1.671869,-0.100269
24.00,-0.652210,0.104034
25.00,-0.914047,0.474395
26.00,1.169368,-0.066863
27.00,-0.364143,0.477415
28.00,-1.307544,-0.797127
29.00,-1.769923,0.222856
30.00,1.954124,0.099576
31.00,-0.450695,1.110026
32.00,-1.016779,-1.337414
33.00,0.371690,0.422239
34.00,0.611916,0.152515
35.00,1.713727,0.166993
36.00,-0.101588,-0.158227
37.00,1.100746,-0.665626
38.00,-1.783368,0.459184
39.00,1.460575,-0.789118
40.00,0.607872,1.352251
41.00,1.076519,-1.047147
42.00,1.062158,0.424077
43.00,1.275418,-0.644455
44.00,-1.798346,0.271855
45.00,-0.720681,-0.922935
46.00,1.467955,1.078443
47.00,2.243669,0.098740
48.00,0.479391,-0.143074
49.00,-1.432626,-1.000743
50.00,-1.800417,-0.008387
51.00,0.613189,0.408016
52.00,-0.164953,0.877716
53.00,1.053852,-0.662484
54.00,-0.241349,0.300680
55.00,-0.657342,-0.719099
56.00,1.727305,0.415663
57.00,-1.754786,0.356361
58.00,-1.112908,-0.956266
59.00,-0.902014,0.743525
60.00,0.063891,-0.006418
61.00,1.309350,0.515587
62.00,-1.088106,-0.217819
63.00,0.710265,-0.638899
64.00,1.409023,0.685689
65.00,-1.258067,-0.217172
66.00,0.038127,-0.569272
67.00,0.947907,0.568802
68.00,0.629436,0.023503
69.00,-0.041547,-0.188930
70.00,-0.498281,-0.321695
71.00,0.190807,0.074554
72.00,-1.757402,0.275465
73.00,-0.380513,-0.392269
74.00,-0.282616,0.723681
75.00,0.316818,-0.226067
76.00,-0.510267,0.273896
77.00,-0.078708,-0.472372
78.00,-0.779589,0.405476
79.00,0.848824,-0.274212
80.00,-0.045339,0.626102
81.00,1.097298,-0.659210
82.00,-1.176059,0.456654
83.00,-0.728505,-0.871299
84.00,0.262553,0.804543
85.00,0.435662,-0.030775
86.00,-0.358223,0.106065
87.00,1.337844,-0.463466
88.00,1.221682,0.527696
89.00,-1.361383,-0.516356
90.00,-0.864219,-0.408635
91.00,1.795294,0.481176
92.00,0.209540,0.582560
93.00,-0.471314,-0.854839
94.00,0.249660,0.013596
95.00,-0.840681,0.161758
96.00,-0.711989,-0.083463
97.00,0.249965,0.224314
98.00,0.726377,0.190277
99.00,-1.398418,-0.067811
100.00,1.349960,-0.547932
101.00,-0.225938,0.930723
102.00,1.769834,-0.856473
103.00,0.104720,0.752016
104.00,-0.863493,-1.104184
105.00,0.986095,0.410139
106.00,-1.223705,0.255031
107.00,0.601334,-0.440686
108.00,-1.220282,0.613434
109.00,0.316288,-0.682826
110.00,1.381539,0.838712
111.00,0.535416,-0.327286
112.00,1.512997,-0.228890
113.00,-2.621927,-0.047892
114.00,0.119737,-0.865927
115.00,0.029627,1.440764
116.00,0.477011,-0.531378
117.00,0.569752,0.351594
118.00,-0.792241,-0.535688
119.00,-0.919927,-0.031855
120.00,0.372045,0.151376
121.00,1.559852,0.484107
122.00,1.952496,-0.112491
123.00,0.345364,-0.339204
124.00,2.060822,-0.669963
125.00,0.574531,0.535796
126.00,-0.399496,-0.768333
127.00,-1.047846,0.151708
128.00,1.880753,-0.124512
129.00,-1.470946,0.923426
130.00,-1.378667,-1.355771
131.00,1.176628,0.834485
132.00,0.040377,0.293696
133.00,0.315629,-0.320603
134.00,-0.047475,-0.062847
135.00,0.915957,-0.142987
136.00,0.448541,0.311565
137.00,0.752499,-0.388000
138.00,-0.472491,0.100667
139.00,1.250783,-0.424494
140.00,0.358521,0.637692
141.00,0.981043,-0.670495
142.00,0.050884,0.334185
143.00,0.215138,-0.593123
144.00,0.200885,0.388744
145.00,0.228692,-0.235148
146.00,-1.635925,0.159020
147.00,-1.013332,-0.475713
148.00,0.028459,0.704757
149.00,0.349238,0.117301
150.00,-0.645949,0.043306
151.00,0.170439,-0.437763
152.00,1.191062,0.420992
153.00,-2.296886,-0.016209
154.00,0.405336,-0.744370
155.00,-0.224634,1.151499
156.00,1.188054,-0.571163
157.00,-1.000209,0.567886
158.00,0.654445,-1.075587
159.00,-0.309770,1.000128
160.00,-1.032907,-0.746023
161.00,0.178143,0.421301
162.00,1.027029,0.086341
163.00,-0.866949,0.193354
164.00,-0.094484,-0.723312
165.00,-0.401495,0.571154
