t,u(t),y(t)
3.00,-1.061294,-0.309724
4.00,-0.353094,0.025786
5.00,-2.239338,-0.572765
6.00,-0.575774,0.085662
7.00,-0.379182,-0.039456
8.00,0.467855,0.172299
9.00,1.226892,0.272355
10.00,0.641537,0.046210
11.00,-0.698325,-0.243638
12.00,0.874021,0.288827
13.00,-0.145178,-0.129662
14.00,-1.531531,-0.399651
15.00,-0.808019,-0.075567
16.00,-0.923485,-0.166128
17.00,0.613535,0.265465
18.00,0.861595,0.181352
19.00,-0.467902,-0.201304
20.00,-0.593645,-0.112376
21.00,0.432734,0.183297
22.00,-0.591615,-0.211752
23.00,0.367439,0.171375
24.00,-0.263147,-0.125548
25.00,0.165277,0.069758
26.00,-2.533799,-0.703129
27.00,0.784172,0.491909
28.00,0.964881,0.172589
29.00,-0.524570,-0.244703
30.00,0.042249,0.070571
31.00,-0.277979,-0.075979
32.00,-1.153504,-0.287440
33.00,-1.650494,-0.318322
34.00,0.957352,0.436254
35.00,-0.116003,-0.154901
36.00,-0.154306,-0.036911
37.00,-0.144060,-0.028872
38.00,-0.109518,0.003134
39.00,0.554401,0.144901
40.00,0.621100,0.115338
41.00,2.048168,0.493036
42.00,1.247482,0.129087
43.00,-0.075461,-0.150706
44.00,0.434104,0.132087
45.00,-0.457818,-0.176126
46.00,0.988469,0.308782
47.00,-1.585085,-0.534158
48.00,1.250206,0.518239
49.00,0.164729,-0.107731
50.00,1.017650,0.263697
51.00,-0.590993,-0.274283
52.00,0.614863,0.243827
53.00,0.348713,0.027931
54.00,0.787061,0.175383
55.00,1.256788,0.229837
56.00,0.160301,-0.088650
57.00,0.137613,0.012126
58.00,-0.216824,-0.072747
59.00,0.723286,0.224796
60.00,2.054151,0.455939
61.00,-1.393938,-0.590806
62.00,-1.836093,-0.338683
63.00,0.026990,0.195657
64.00,2.077894,0.529262
65.00,-1.900586,-0.755332
66.00,0.700098,0.410112
67.00,0.816945,0.141851
68.00,1.525023,0.342543
69.00,0.328848,-0.093642
70.00,-0.593663,-0.196763
71.00,-1.358053,-0.286828
72.00,-1.541787,-0.281337
73.00,-0.119114,0.112417
74.00,0.959265,0.260405
75.00,-0.722959,-0.299418
76.00,1.140859,0.369579
77.00,-1.160173,-0.423201
78.00,-0.898432,-0.113747
79.00,1.997920,0.640633
80.00,0.031117,-0.206159
81.00,1.494819,0.420382
82.00,-0.924661,-0.405274
83.00,0.836905,0.335184
84.00,-0.507931,-0.220679
85.00,0.001707,0.068046
86.00,-1.269633,-0.364958
87.00,0.015234,0.153969
88.00,-0.904213,-0.241144
89.00,1.058510,0.394362
90.00,0.886101,0.125448
91.00,-2.021179,-0.639693
92.00,0.663243,0.410556
93.00,-0.313765,-0.162371
94.00,-0.825811,-0.186849
95.00,-1.745877,-0.371440
96.00,0.726449,0.379935
97.00,0.127740,-0.044284
98.00,-0.042371,-0.032122
99.00,0.325791,0.105786
100.00,-1.190481,-0.363853
101.00,-0.161207,0.104683
102.00,-0.339124,-0.072106
103.00,-0.462480,-0.099338
104.00,-1.563314,-0.385156
105.00,0.081366,0.189492
106.00,0.970344,0.245489
107.00,-0.814848,-0.330265
108.00,0.804253,0.301074
109.00,0.568924,0.063176
110.00,0.032699,-0.041732
111.00,0.674680,0.190912
112.00,-0.621247,-0.213583
113.00,-0.202812,0.007702
114.00,0.165620,0.057641
115.00,-0.306465,-0.106674
116.00,2.272901,0.647125
117.00,0.040620,-0.252129
118.00,0.592818,0.173633
119.00,-0.294292,-0.142378
120.00,1.057741,0.322760
121.00,1.459041,0.276232
122.00,2.237123,0.451608
123.00,-0.470128,-0.361378
124.00,0.023685,0.052935
125.00,-0.070138,-0.027828
126.00,-1.412710,-0.393530
127.00,0.907108,0.407414
128.00,0.672008,0.066892
129.00,0.035685,-0.057158
130.00,0.420699,0.095569
131.00,0.295310,0.035015
132.00,0.695259,0.149931
133.00,1.908455,0.441578
134.00,-2.474004,-0.880123
135.00,-0.961781,0.019578
136.00,-0.977667,-0.178955
137.00,0.159799,0.159404
138.00,0.005630,-0.009740
139.00,-1.129667,-0.302752
140.00,-1.739927,-0.360559
141.00,0.284976,0.262334
142.00,0.676054,0.142625
143.00,-0.626909,-0.252037
144.00,2.132825,0.660314
145.00,1.811786,0.267222
146.00,0.224345,-0.117624
147.00,1.776421,0.455322
148.00,1.261744,0.156962
149.00,-0.179813,-0.174066
150.00,-0.696283,-0.173718
151.00,0.568873,0.238149
152.00,0.577373,0.081485
153.00,-0.262342,-0.132578
154.00,-0.710110,-0.152771
155.00,0.209168,0.140412
156.00,0.858840,0.203116
157.00,1.113589,0.199380
158.00,0.247367,-0.045842
159.00,-0.892240,-0.269521
160.00,-2.019043,-0.424183
161.00,-0.130663,0.194851
162.00,-0.712204,-0.190574
163.00,-0.528497,-0.052839
164.00,-0.272813,-0.009093
165.00,1.215465,0.348874
166.00,1.004095,0.134200
167.00,-0.341343,-0.200661
168.00,0.845852,0.266419
169.00,0.086380,-0.064905
170.00,-1.921577,-0.523374
171.00,0.084990,0.222508
172.00,-2.457725,-0.675472
173.00,-1.034046,-0.006385
174.00,-0.092158,0.092703
175.00,0.025286,0.015794
176.00,0.592934,0.143859
177.00,-1.197900,-0.383333
178.00,1.145343,0.447415
179.00,-1.910474,-0.648796
180.00,-0.459838,0.105640
181.00,-0.197173,-0.016528
182.00,0.791516,0.216304
183.00,1.235821,0.244673
184.00,-0.713682,-0.321344
185.00,-0.458107,-0.059339
186.00,0.098237,0.061231
187.00,-0.833797,-0.229496
188.00,0.344452,0.189109
189.00,-0.620129,-0.190102
190.00,0.570694,0.213328
191.00,0.691200,0.130772
192.00,-0.524856,-0.231778
193.00,2.042174,0.614358
194.00,-0.366715,-0.326049
195.00,-0.207260,-0.007364
196.00,-0.361463,-0.084508
197.00,1.327724,0.392636
198.00,-0.067116,-0.160987
199.00,0.195332,0.040541
200.00,0.552848,0.133218
201.00,0.968445,0.199396
202.00,2.150723,0.466251
203.00,-0.176196,-0.281195
204.00,0.010082,0.037674
205.00,1.136536,0.313469
206.00,-0.433703,-0.240623
207.00,1.864749,0.561669
208.00,-1.760926,-0.675329
209.00,1.308294,0.567178
210.00,0.421316,-0.029762
211.00,0.415609,0.079114
212.00,0.839201,0.173663
213.00,1.277056,0.259637
214.00,-0.686791,-0.330866
